,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches,club
113,Calum Chambers,eng ENG,DF,26-106,8.7,13.0,1.5,12.0,0.0,1.0,0.0,0.0,0.0,2.0,0.23,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Matches,Arsenal
114,Sead Kolašinac,ba BIH,"DF,MF",27-320,8.4,3.0,0.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
115,Martinelli,br BRA,FW,19-322,7.8,21.0,3.18,15.0,0.0,4.0,1.0,1.0,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
116,Shkodran Mustafi,de GER,DF,29-019,6.0,4.0,0.81,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
117,Reiss Nelson,eng ENG,MF,21-147,5.3,17.0,4.87,16.0,1.0,0.0,0.0,0.0,0.0,2.0,0.57,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
118,Rúnar Alex Rúnarsson,is ISL,GK,26-077,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
119,Mathew Ryan,au AUS,GK,29-028,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
120,Emiliano Martínez,ar ARG,GK,28-246,1.3,,,,,,,,,,,,,,,,,,Matches,Arsenal
121,Folarin Balogun,eng ENG,FW,19-307,0.9,3.0,3.97,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
122,Ben Cottrell,eng ENG,FW,19-187,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
123,Miguel Azeez,eng ENG,MF,18-228,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
124,Ollie Watkins,eng ENG,FW,25-127,34.2,87.0,2.64,64.0,0.0,4.0,10.0,5.0,4.0,13.0,0.39,8.0,0.0,1.0,4.0,0.0,0.0,0.0,Matches,Aston Villa
125,Emiliano Martínez,ar ARG,GK,28-246,33.0,5.0,0.15,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston Villa
126,Matt Targett,eng ENG,DF,25-230,32.8,61.0,1.86,47.0,10.0,0.0,0.0,3.0,1.0,6.0,0.18,4.0,1.0,0.0,0.0,1.0,0.0,0.0,Matches,Aston Villa
127,Tyrone Mings,eng ENG,DF,28-054,32.5,14.0,0.44,12.0,0.0,1.0,1.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aston Villa
128,John McGinn,sco SCO,MF,26-200,32.0,86.0,2.69,70.0,2.0,3.0,2.0,8.0,1.0,12.0,0.37,8.0,1.0,1.0,1.0,1.0,0.0,0.0,Matches,Aston Villa
